Title,Template,Slug,Parent,,
Aldo,elementor_canvas,aldo-glycerol-esters,1001,,
Amphoterge,elementor_canvas, amphoterge-amphoteric-surfactants,1002,,
Biocell,elementor_canvas, biocell,1003,,
Carnipure,elementor_canvas, carnipure-l-carnitine,1004,,
Carsoquat,elementor_canvas, carsoquat-conditioners,1005,,
Chronosphere,elementor_canvas, chronosphere-light-controlling-spherical-powders,1006,,
Cosmocil,elementor_canvas, cosmocil-preservatives,1007,,
Ethosperse,elementor_canvas, ethosperse,1008,,
Fibro-Silk,elementor_canvas, fibro-silk-conditioning-proteins,1009,,
Genti-Fol,elementor_canvas, genti-fol-substantive-keratolytic-complex,1010,,
Geogard,elementor_canvas, geogard-preservatives,1011,,
Glycacil,elementor_canvas, glycacil-ipbc-based-preservatives,1012,,
Glycomul,elementor_canvas, glycomul-sorbitan-esters,1032,,
Glycosperse,elementor_canvas, glycosperse-polysorbates,1033,,
Glydant,elementor_canvas, glydant-preservatives,1013,,
Isocil,elementor_canvas, isocil-preservatives,1014,,
LactoPro,elementor_canvas, lactopro-skin-macronutrient-complex,1015,,
LaraCare,elementor_canvas, laracare,1016,,
Lonzagard,elementor_canvas, lonzagard-efficacious-antibacterial,1017,,
Lonzaserve,elementor_canvas, lonzaserve-preservative-system,1018,,
Lonzest,elementor_canvas, lonzest-emollients-and-emulsifiers,1019,,
Metabiotics,elementor_canvas, metabiotics-small-molecule-fusion-technology,1020,,
Mikrokill,elementor_canvas, mikrokill-personal-care-preservatives,1021,,
NAB,elementor_canvas, nab-biotechnological-actives,1022,,
Natrulon,elementor_canvas, natrulon,1023,,
Pegosperse,elementor_canvas, pegosperse,1024,,
Polyaldo,elementor_canvas, polyaldo,1025,,
ScreenLight,elementor_canvas, screenlight-bioactive-functional,1034,,
SeaPure,elementor_canvas, seapure,1026,,
Solu-Mar ,elementor_canvas, solu-mar-conditioning-proteins,1027,,
Spectradyne,elementor_canvas, spectradyne-effective-and-mild-antimicrobial,1028,,
ViscUp,elementor_canvas, viscup,1029,,
Vitazyme,elementor_canvas, vitazyme-protein-complexed-vitamins,1030,,
Zinc Omadine,elementor_canvas, zinc-omadine-anti-dandruff-actives,1031,,
